link,name,category,country,year,company
https://www.youtube.com/watch?v=IYPe2oWBV_w,Wall-e,animacion & aventura,USA,2008,Disney
https://www.youtube.com/watch?v=6YuT-e_xwn0,Frozen,animacion & aventura & comedia & musical,USA,2013,Disney
https://www.youtube.com/watch?v=0S2ixmdovlw,Frozen II,animacion & aventura & comedia & musical,USA,2019,Disney
https://www.youtube.com/watch?v=lspROtOesbo,Moana,animacion & aventura & comedia & musical,USA,2016,Disney
https://youtu.be/sXfE_C2oOsw?t=14,Iron Man,ciencia ficcion & accion & superheroes & comedia & drama,USA,2008,Marvel
https://youtu.be/X4jhND5xfY4?t=8,Thor,ciencia ficcion & accion & superheroes & comedia & drama,USA,2011,Marvel
https://www.youtube.com/watch?v=XX47Sb2y-4Q,Spider Man Homecoming,ciencia ficcion & accion & superheroes & comedia & drama,USA,2017,Marvel
https://www.youtube.com/watch?v=bHKZ2NHLfKw,Thor - Dark world,ciencia ficcion & accion & superheroes & comedia & drama,USA,2013,Marvel
https://youtu.be/rmCAg6RbkTE?t=11,Mulan,animacion & aventura & comedia & musical & accion,USA,1998,Disney
https://youtu.be/8-gP9CkRpCA?t=7,Captain America,ciencia ficcion & accion & superheroes & comedia & drama,USA,2011,Marvel
https://www.youtube.com/watch?v=mGqYQog6biY,Captain America - Winter soldier,ciencia ficcion & accion & superheroes & comedia & drama,USA,2014,Marvel
https://www.youtube.com/watch?v=s5PVmDAEuro,Captain America - Civil war,ciencia ficcion & accion & superheroes & comedia & drama,USA,2016,Marvel
https://www.youtube.com/watch?v=0gaj048M9Vw,Thor - Ragnarok,ciencia ficcion & accion & superheroes & comedia & drama,USA,2017,Marvel
https://www.youtube.com/watch?v=qdIuXCfUKM8,Guardians of galaxy,ciencia ficcion & accion & superheroes & comedia & drama,USA,2014,Marvel
https://www.youtube.com/watch?v=QgFuTRQMgGo,Guardians of galaxy - Vol II,ciencia ficcion & accion & superheroes & comedia & drama,USA,2017,Marvel
https://www.youtube.com/watch?v=42h1BHPf0ag,Ant Man,ciencia ficcion & accion & superheroes & comedia & drama,USA,2015,Marvel
https://youtu.be/fnOQReEBpIs?t=6,Ant Man & The Wasp,ciencia ficcion & accion & superheroes & comedia & drama,USA,2018,Marvel
https://www.youtube.com/watch?v=yNXfOOL8824,Avengers,ciencia ficcion & accion & superheroes & comedia & drama,USA,2012,Marvel
https://www.youtube.com/watch?v=DMFBm_lp4rU,Avengers - Age of Ultron,ciencia ficcion & accion & superheroes & comedia & drama,USA,2015,Marvel
https://www.youtube.com/watch?v=l2iLZ3Q0GgY,Avengers - Infinity War,ciencia ficcion & accion & superheroes & comedia & drama,USA,2018,Marvel
https://www.youtube.com/watch?v=VhCUoIuC5zs,Avengers - Endgame,ciencia ficcion & accion & superheroes & comedia & drama,USA,2019,Marvel
https://www.youtube.com/watch?v=-8F3GTOv4a0,Captain Marvel,ciencia ficcion & accion & superheroes & comedia & drama,USA,2019,Marvel
https://www.youtube.com/watch?v=jWcUTQyTUfc,The incredibles,animacion & aventura & accion & superheroes,USA,2004,Disney
https://www.youtube.com/watch?v=6RBr1v9_umA,The incredibles II,animacion & aventura & accion & superheroes,USA,2018,Disney
https://www.youtube.com/watch?v=oLL2eSmA4R8,Iron Man 2,ciencia ficcion & accion & superheroes & comedia & drama,USA,2010,Marvel
https://www.youtube.com/watch?v=MPwsK6CI4dQ,Iron Man 3,ciencia ficcion & accion & superheroes & comedia & drama,USA,2013,Marvel